tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
ABALROAMENTO TRANSVERSAL;FINALIZADA;08/06/2019;14:01:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;4080;EM FRENTE A VENEA MATERIAL DE CONSTRUÇÃO;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE AUTO E DUAS MOTOS COM DUAS VITIMAS;1;2;;;;;;;;2;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;14:41:00;CASA FORTE;EST DO ENCANAMENTO;1400;EM FRENTE AO BOTECO FERRO E FOGO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;14:53:00;ÁGUA FRIA;AV BEBERIBE;2064;EM FRENTE AO Nº 2064;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;15:43:00;ROSARINHO;RUA COUTO MAGALHAES;395;LADO OPOSTO AO Nº  470;ABALROAMENTO LONGITUDINAL;COLISÃO COM VITIMA;2;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;17:45:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;E/F AO POSTO SHELL;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;20:36:00;IPUTINGA;AV CAXANGA;;LADO OPOSTO AO HOSPITAL SANTA TEREZINHA;ABALROAMENTO LONGITUDINAL;;1;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;23:02:00;BOA VIAGEM;AV BOA VIAGEM;5030;;ABALROAMENTO LONGITUDINAL;ENTRE ÕNIBUS E AUTO PASSEIO. S/V;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;09/06/2019;00:57:00;CASA AMARELA;RUA DA HARMONIA;;;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE DOIS AUTOS, SEM VÍTIMAS;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;CANCELADA;09/06/2019;02:20:00;SÃO JOSÉ;RUA IMPERIAL;;NA DESCIDA DO VIADUTO CAPITÃO TEMUDO // ACESOO PARA AV IMPERIAL;CHOQUE OBJETO FIXO;CONDUTOR PERDEU O CONTROLE DO VEÍCULO E CHOCOU-SE CONTRA O MEIO-FIO;1;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;09/06/2019;03:27:00;AFOGADOS;RUA MOTOCOLOMBO;;;ABALROAMENTO TRANSVERSAL;ENTRRE 2 AUTOS. S/V;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;09/06/2019;04:52:00;GUABIRABA;AV DA RECUPERACAO;1702;EM FRENTE AO TERMINAL DE ÔNIBUS DA GUABIRABA;CHOQUE OBJETO FIXO;VEÍCULO CHOCOU-SE CONTRA O MURO DE UMA RESIDÊNCIA;1;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/06/2019;05:08:00;ARRUDA;AV BEBERIBE;;AO LADO DO CAMPO DO ARRUDA;ABALROAMENTO LONGITUDINAL;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;09/06/2019;05:51:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;636;EM FRENTE AO CLINICCAL CENTER;COLISÃO TRASEIRA;COLISÃO ENTRE DOIS AUTOS, COM VÍTIMA;2;;;;;;;;;2;
COLISÃO;FINALIZADA;09/06/2019;07:04:00;PRADO;AV ENGENHEIRO ABDIAS DE CARVALHO;;EM  FRENTE  AO  HABIB´S;COLISÃO;COLISÃO  SEM  VITIMAS;3;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;09/06/2019;08:04:00;SÃO JOSÉ;AV SUL;;LADO OPOSTO AO 16 BPM;COLISÃO TRASEIRA;SEM VITIMAS,VT15,SUB INSP JOÃO ALVES NO LOCAL;;;;;;2;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/06/2019;10:16:00;DOIS UNIDOS;RUA DIVISOPOLIS;19;;ABALROAMENTO LONGITUDINAL;AUTO E MOTO;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/06/2019;12:21:00;IBURA;AV JORNALISTA COSTA PORTO;600;EM FRENTE AO Nº 600;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/06/2019;12:40:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;4310;AO LADO HABIB'S;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;09/06/2019;16:22:00;MACAXEIRA;AV NORTE;;PROX A ANTIGA  FABRICA da macaxeira;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;09/06/2019;16:24:00;BOA VIAGEM;RUA ANTONIO FALCAO;;;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;09/06/2019;16:25:00;BOA VISTA;RUA AURORA;;;ABALROAMENTO LONGITUDINAL;DOIS ÔNIBUS - EMPRESAS - METROPOLITANA X BORBOREMA;;;;;;2;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;09/06/2019;16:58:00;APIPUCOS;RUA CORONEL JOAO BATISTA DO REGO BARROS;;PROX. AO PARQUE , SOBRE A PONTE;COLISÃO COM CICLISTA;COLISÃO COM VITIMA;;1;;1;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;09/06/2019;17:22:00;IPSEP;AV RECIFE;1287;;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;09/06/2019;18:10:00;VÁRZEA;RUA VALE DO SIRIJI;;E/F  AO COLÉGIO ESTADUAL MARIA DA CONC E AO LADO DA IGREJA CATÓLICA;COLISÃO TRASEIRA;ENTRE MOTO E AUTO. C/V;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;09/06/2019;18:59:00;LINHA DO TIRO;RUA URIEL DE HOLANDA;88;EMPÓRIO DA COXINHA DE BATATA;COLISÃO TRASEIRA;ENTRE ÕNIBUS E KOMBI. S/V;1;;;;;1;;;;0;
COLISÃO;CANCELADA;09/06/2019;20:45:00;BOA VIAGEM;RUA WALDEMAR NERY CARNEIRO MONTEIRO;415;PROX A ESCOLA CRISTÃ;COLISÃO;PALIO X HB 20;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;10/06/2019;07:48:00;BAIRRO DO RECIFE;AV NORTE;;PONTE LIMOEIRO;COLISÃO TRASEIRA;TRÊS AUTOS S/ VÍTIMAS;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;10/06/2019;07:59:00;;AV JOAO DE BARROS;;EM FRENTE A FACULDADE DE CIENCIAS;ABALROAMENTO LONGITUDINAL;SEM VITIMAS/BATEDOR LUCIANO BARROS E ENOQUE VÃO FAZER O B.O;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;10/06/2019;07:49:00;CASA AMARELA;AV NORTE;5600;AO LADO DA UPINHA;ABALROAMENTO LONGITUDINAL;AUTO E MOTO;1;1;;;;;;;;1;
